uren;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;;;
29-9-2023;33,40745752;;;;;;;;;;;;;;;;;;;;;;;;;;;
30-9-2023;33,48377858;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-10-2023;33,56027401;;;;;;;;;;;;;;;;;;;;;;;;;;;
2-10-2023;33,63694419;;;;;;;;;;;;;;;;;;;;;;;;;;;
3-10-2023;33,71378953;;;;;;;;;;;;;;;;;;;;;;;;;;;
4-10-2023;33,79081043;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-10-2023;33,86800728;;;;;;;;;;;;;;;;;;;;;;;;;;;
6-10-2023;33,9453805;;;;;;;;;;;;;;;;;;;;;;;;;;;
7-10-2023;34,02293047;;;;;;;;;;;;;;;;;;;;;;;;;;;
8-10-2023;34,10065762;;;;;;;;;;;;;;;;;;;;;;;;;;;
9-10-2023;34,17856233;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-10-2023;34,25664503;;;;;;;;;;;;;;;;;;;;;;;;;;;
11-10-2023;34,33490611;;;;;;;;;;;;;;;;;;;;;;;;;;;
12-10-2023;34,41334597;;;;;;;;;;;;;;;;;;;;;;;;;;;
13-10-2023;34,49196504;;;;;;;;;;;;;;;;;;;;;;;;;;;
14-10-2023;34,57076372;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-10-2023;34,64974242;;;;;;;;;;;;;;;;;;;;;;;;;;;
16-10-2023;34,72890155;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-10-2023;34,80824152;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-10-2023;34,88776275;;;;;;;;;;;;;;;;;;;;;;;;;;;
19-10-2023;34,96746565;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-10-2023;35,04735063;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-10-2023;35,12741812;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-10-2023;35,20766852;;;;;;;;;;;;;;;;;;;;;;;;;;;
23-10-2023;35,28810226;;;;;;;;;;;;;;;;;;;;;;;;;;;
24-10-2023;35,36871976;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-10-2023;35,44952143;;;;;;;;;;;;;;;;;;;;;;;;;;;
26-10-2023;35,53050769;;;;;;;;;;;;;;;;;;;;;;;;;;;
27-10-2023;35,61167898;;;;;;;;;;;;;;;;;;;;;;;;;;;
